Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,17,19,850,310,2,2,4,5,6,5,1,2,4,6,7,3,3,06-09-2020,2.5,MC
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,19,4,1590,468,31,2,2,16,5,7,1,4,7,4,7,3,4,02-09-2020,3,MC
Italia,20,Paolo Prada,448909876,,,,,,,19,63,3310,468,31,2,4,16,7,7,1,5,8,3,7,4,1,02-09-2020,4.5,MC
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,19,100,9280,1890,42,2,6,18,7,7,1,4,11,3,3,2,3,26-08-2020,5,MC
Estados Unidos,30,Tomás Ruiz,442669692,,,,1,,,21,82,6360,1044,65,3,4,20,6,7,2,4,9,8,5,3,3,02-09-2020,5,EI
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,16,40090,21444,111,3,3,20,5,7,1,3,14,5,4,3,3,02-09-2020,5.5,MC
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,24,75,25310,8090,96,2,4,20,6,7,1,2,13,3,2,5,4,30-08-2020,5.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,1,,25,27,20430,5820,123,4,5,20,7,7,1,2,12,7,3,5,5,06-09-2020,5.5,ED
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,42,48040,22452,127,2,2,20,6,7,1,4,14,2,2,4,4,06-09-2020,6.5,MC
Irán,26,Farjad Amjadi,432094261,,,,,,,26,55,45980,17868,69,6,5,20,5,7,1,14,5,3,4,6,4,06-09-2020,6,LI
Austria,32,Alfred Vejdovszky,431124773,,,,,1,,26,67,18310,5220,95,5,2,20,7,7,1,5,5,6,3,11,3,06-09-2020,7.5,DEL
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,74,15430,3612,92,5,4,20,6,7,1,4,6,3,7,11,1,06-09-2020,7,DEL
Bélgica,4,Erik Janssens,432292771,,,,,,,27,53,3700,660,142,3,4,20,7,6,1,8,7,3,4,4,3,02-09-2020,4.5,DC
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,63,2000,612,142,4,2,20,5,6,1,8,6,4,4,4,1,22-07-2020,3.5,LD
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,1,,27,89,52560,18468,170,7,4,20,7,7,1,4,14,7,4,3,1,06-09-2020,6.5,EI
Venezuela,92,Israel Arteaga,428808648,,,,,,,27,90,610,444,159,2,5,20,3,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Rumanía,12,Fănică Teacu,433196899,,,,,,,27,102,3500,1596,142,5,2,20,6,7,7,3,6,1,1,1,4,06-09-2020,3.5,POR
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,10,4330,876,142,6,6,20,6,7,1,8,7,3,2,6,4,02-09-2020,4,LI
Italia,6,Gino Ambrogetti,427067471,,Cabeceador,,,,,28,33,3200,732,142,4,5,20,5,7,1,8,7,3,3,5,4,02-09-2020,3.5,DC
Suiza,27,Maximilian Gmünder,426697959,,,,,1,,28,36,32370,15684,69,7,4,20,5,7,1,14,4,3,4,5,3,06-09-2020,6,LD
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,28,76,36460,17604,170,7,2,20,5,6,1,2,14,7,3,6,5,06-09-2020,5,MC
Alemania,14,Luca Kopetzky,427835263,,,,,,,28,88,72530,38772,172,5,4,20,6,6,1,3,16,3,4,4,3,06-09-2020,7,MC
Chile,10,Oskar Aizpuru,427812596,,,,,2,,28,102,157760,81408,172,7,5,20,7,6,1,4,18,4,4,6,3,06-09-2020,8.5,MC
Colombia,98,Gonzalo Albán,427777420,,,1,,,,29,14,510,380,173,3,6,20,2,5,1,7,5,4,5,2,5,10-05-2020,4,DC
Colombia,16,Norberto Peña,427777432,,Potente,1,,1,,29,27,4590,1060,173,4,3,20,4,6,1,3,9,6,5,7,6,02-09-2020,3.5,ED
España,9,Mauro Albelda,426590336,,Técnico,,,,,29,36,2140,600,159,4,3,20,5,6,1,5,7,4,4,7,1,02-09-2020,4.5,DEL
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,29,54,3600,900,159,6,1,20,6,6,1,8,7,4,3,3,2,02-09-2020,4.5,DC
Argentina,23,Huberto Marquet,427791661,,,,,,,29,72,62500,38844,172,4,6,20,6,6,1,3,16,4,2,2,3,06-09-2020,7,MC
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,30,18,320,310,173,2,3,20,2,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
