Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,17,25,840,310,3,2,4,5,6,5,1,2,4,6,7,3,3,13-09-2020,2.5,MC
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,19,10,1870,468,32,2,2,16,6,7,1,4,7,4,7,3,4,13-09-2020,4,MC
Italia,20,Paolo Prada,448909876,,,,,,,19,69,3500,468,32,2,4,16,7,7,1,5,8,3,7,4,1,13-09-2020,4.5,MC
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,19,106,9430,1890,43,2,6,19,7,7,1,4,11,3,3,2,3,13-09-2020,5,MC
Estados Unidos,30,Tomás Ruiz,442669692,,,,1,,,21,88,5520,1044,66,3,4,20,6,7,2,4,9,8,5,3,3,13-09-2020,5,EI
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,22,40920,21444,112,3,3,20,5,7,1,3,14,5,4,3,3,13-09-2020,5.5,MC
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,24,81,25770,8090,97,2,4,20,5,7,1,2,13,3,2,5,4,13-09-2020,5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,1,,25,33,21030,5820,123,4,5,20,7,7,1,2,12,7,3,5,5,13-09-2020,5.5,ED
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,48,49620,22452,128,2,2,20,7,7,1,4,14,2,2,4,4,06-09-2020,6.5,MC
Irán,26,Farjad Amjadi,432094261,,,,,,,26,61,45520,17868,70,6,5,20,5,7,1,14,5,3,4,6,4,06-09-2020,6,LI
Austria,32,Alfred Vejdovszky,431124773,,,,,1,,26,73,17920,5220,96,5,2,20,7,7,1,5,5,6,3,11,3,06-09-2020,7.5,DEL
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,80,15240,3612,93,5,4,20,6,7,1,4,6,3,7,11,1,06-09-2020,7,DEL
Bélgica,4,Erik Janssens,432292771,,,,,,,27,59,3730,660,143,3,4,20,8,6,1,8,7,3,4,4,3,13-09-2020,4.5,DC
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,69,1980,612,143,4,2,20,5,6,1,8,6,4,4,4,1,22-07-2020,3.5,LD
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,1,,27,95,51470,18468,171,7,4,20,7,7,1,4,14,7,4,3,1,06-09-2020,6.5,EI
Venezuela,92,Israel Arteaga,428808648,,,,,,,27,96,680,444,160,2,5,20,4,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Rumanía,12,Fănică Teacu,433196899,,,,,,,27,108,3440,1596,143,5,2,20,6,7,7,3,6,1,1,1,4,13-09-2020,3.5,POR
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,16,4490,876,143,6,6,20,6,7,1,8,7,3,2,6,4,02-09-2020,4,LI
Italia,6,Gino Ambrogetti,427067471,,Cabeceador,,,,,28,39,3410,732,143,4,5,20,6,7,1,8,7,3,3,5,4,13-09-2020,4,DC
Suiza,27,Maximilian Gmünder,426697959,,,,,1,,28,42,36050,15684,70,7,4,20,6,7,1,14,5,3,4,5,3,06-09-2020,6,LD
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,28,82,37730,17604,171,7,2,20,6,6,1,2,14,7,3,6,5,06-09-2020,5,MC
Alemania,14,Luca Kopetzky,427835263,,,,,,,28,94,73860,38772,173,5,4,20,6,6,1,3,16,3,4,4,3,06-09-2020,7,MC
Chile,10,Oskar Aizpuru,427812596,,,,,2,,28,108,160310,81408,173,7,5,20,7,6,1,4,18,4,4,6,3,06-09-2020,8.5,MC
Colombia,98,Gonzalo Albán,427777420,,,1,,,,29,20,590,380,174,3,6,20,2,5,1,7,5,4,5,2,5,10-05-2020,4,DC
