Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Alemania,14,Luca Kopetzky,427835263,,,,,,,28,33,76390,38772,164,4,4,20,8,7,1,3,16,3,4,4,3,12-07-2020,7.5,MC
Rusia,44,Albert Kurylev,377934834,,,,,,,40,110,3620,2328,37,15,2,17,7,2,13,0,0,0,0,0,9,12-07-2020,4.5,POR
Bélgica,25,Arnout Delmotte,425693793,,Imprevisible,,,1,,28,44,109250,34668,6,5,4,8,7,7,1,16,4,4,9,4,9,12-07-2020,6.5,LD
Irán,26,Farjad Amjadi,432094261,,,,,,,26,0,55790,17868,61,6,5,20,7,7,1,14,5,3,4,6,4,12-07-2020,6.5,LI
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,27,34,50460,18468,162,7,4,20,7,7,1,4,14,7,4,3,1,12-07-2020,6,ED
Austria,32,Alfred Vejdovszky,431124773,,,,,,,26,12,16780,5220,87,5,2,20,6,7,1,5,5,6,3,11,3,12-07-2020,7,DEL
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,29,84,3130,600,151,6,2,20,6,6,1,8,6,4,5,6,6,31-05-2020,4.5,LD
España,9,Mauro Albelda,426590336,,Técnico,,,,,28,93,2960,636,151,4,3,20,6,7,1,5,6,4,4,8,1,03-06-2020,4.5,DEL
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,18,61,1210,372,23,2,2,14,6,7,1,4,6,4,7,3,4,15-07-2020,3.5,MC
Colombia,16,Norberto Peña,427777432,,Potente,1,,1,,28,84,6010,1010,165,4,3,20,6,7,1,3,9,6,5,7,6,15-07-2020,5.5,DEL
