Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Chile,10,Oskar Aizpuru,427812596,,,,,,,29,48,155890,77184,181,7,5,20,7,7,1,4,18,4,5,6,3,04-11-2020,9,MC
Alemania,14,Luca Kopetzky,427835263,,,,,1,,29,34,66350,39924,180,5,4,20,6,7,1,3,16,3,4,4,3,04-11-2020,7,MC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,74,63220,21444,119,3,3,20,8,8,1,3,14,5,5,3,3,01-11-2020,7.5,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,30,18,61800,37944,180,4,6,20,7,7,1,3,16,4,3,2,3,01-11-2020,7,MC
Irán,26,Farjad Amjadi,432094261,,,,,,,27,1,58180,17868,77,7,5,20,8,7,1,14,5,3,4,6,4,01-11-2020,8,DC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,100,55600,22452,135,2,2,20,6,7,1,4,15,2,3,4,4,01-11-2020,7,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,35,46030,22356,178,8,4,20,5,7,1,4,14,7,4,3,1,01-11-2020,5.5,ED
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,29,22,40870,18600,178,7,2,20,7,7,1,2,14,7,5,6,5,04-11-2020,5.5,EI
Suiza,27,Maximilian Gmünder,426697959,,,,,,,28,94,39100,15684,78,7,4,20,7,7,1,14,5,3,4,5,3,28-10-2020,7.5,DC
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,31,3,38880,26820,24,8,2,14,5,6,1,16,4,2,4,2,5,01-11-2020,6.5,DC
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,25,21,32660,10570,105,2,4,20,7,8,1,2,13,3,3,5,4,01-11-2020,6.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,25,85,25690,5820,131,4,5,20,8,8,1,2,12,7,4,5,5,01-11-2020,5.5,EI
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,27,20,20230,3636,101,6,4,20,8,7,1,4,6,3,8,11,1,01-11-2020,7.5,DEL
Austria,32,Alfred Vejdovszky,431124773,,,,,1,,27,13,19120,5220,103,6,2,20,7,7,1,5,5,6,4,11,3,01-11-2020,7.5,DEL
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,46,13110,3470,50,2,6,20,6,8,1,4,11,3,4,2,3,04-11-2020,6,MC
