Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Chile,10,Oskar Aizpuru,427812596,,,,,,,29,55,160270,77184,182,7,5,20,8,7,1,4,18,4,5,6,3,11-11-2020,9.5,MC
Alemania,14,Luca Kopetzky,427835263,,,,,1,,29,41,67620,39924,181,5,4,20,6,7,1,3,16,3,4,4,3,08-11-2020,7.5,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,30,25,64890,37944,181,4,6,20,7,7,1,3,16,4,3,2,3,08-11-2020,7.5,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,107,53510,22452,136,2,2,20,5,7,1,4,15,2,3,4,4,08-11-2020,6.5,MC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,81,63580,21444,121,3,3,20,8,8,1,3,14,5,5,3,3,08-11-2020,7.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,42,46140,22356,179,8,4,20,5,7,1,4,14,7,5,3,1,08-11-2020,5.5,ED
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,29,29,42610,18600,179,7,2,20,7,7,1,2,14,7,5,6,5,08-11-2020,5.5,EI
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,25,28,33930,10570,106,2,4,20,7,8,1,2,13,3,3,5,4,11-11-2020,6.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,25,92,26120,5820,132,4,5,20,8,8,1,2,12,7,5,5,5,11-11-2020,6,ED
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,53,14220,3470,51,2,6,20,7,8,1,4,11,3,5,2,3,11-11-2020,6,MC
Alemania,35,Walter Brieselang,401033610,,,,,,,39,83,590,1404,68,8,5,20,4,2,0,0,11,0,2,0,3,12-08-2020,5.5,MC
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,29,92,7100,1060,182,5,3,20,7,7,1,3,9,6,6,7,6,11-11-2020,5.5,DEL
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,22,35,10560,1620,74,3,4,20,6,8,2,4,9,8,6,3,3,11-11-2020,5.5,EI
Italia,20,Paolo Prada,448909876,,,,,,,20,16,4380,780,40,2,4,18,6,7,1,5,8,3,7,4,1,11-11-2020,4,MC
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,75,4830,876,152,6,6,20,6,7,1,8,7,3,3,6,4,11-11-2020,4.5,DC
España,9,Mauro Albelda,426590336,,Técnico,,,1,,29,101,2590,600,168,4,3,20,5,7,1,5,7,4,6,7,1,11-11-2020,4.5,DEL
Rumanía,12,Fănică Teacu,433196899,,,,,,,28,55,3970,1620,152,6,2,20,7,7,7,3,7,1,1,1,4,11-11-2020,4,POR
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,30,7,1760,852,169,6,1,20,2,7,1,8,7,4,3,3,2,11-11-2020,3,DC
