Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Chile,10,Oskar Aizpuru,427812596,,,,,1,,29,98,164060,77184,188,7,5,20,8,7,1,4,18,4,5,6,3,20-12-2020,9.5,MC
Alemania,14,Luca Kopetzky,427835263,,,,,1,,29,84,79730,39924,187,5,4,20,8,7,1,3,16,3,4,4,3,23-12-2020,8,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,30,68,50130,37944,187,4,6,20,4,7,1,3,16,4,3,2,3,20-12-2020,6,MC
Bélgica,7,Watse Deschuymere,437261831,,,,,,1,25,12,65230,27780,127,3,3,20,6,8,1,3,15,5,5,3,3,20-12-2020,7,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,27,38,67570,28056,142,2,2,20,8,7,1,4,15,2,3,4,4,20-12-2020,7.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,85,49420,22356,185,8,4,20,5,7,1,4,14,7,5,3,1,23-12-2020,5.5,ED
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,29,72,43180,18600,185,7,2,20,6,7,1,2,14,7,5,6,5,23-12-2020,5,EI
Colombia,29,Weibar Cerquera,438673853,,Potente,,,2,,25,71,37420,10570,112,2,4,20,7,8,1,2,13,3,3,5,4,20-12-2020,6,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,26,23,28690,7836,138,4,5,20,8,8,1,2,12,7,5,5,5,20-12-2020,5.5,ED
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,96,19180,3470,57,2,6,20,8,8,1,4,12,3,5,2,3,20-12-2020,6.5,MC
Alemania,35,Walter Brieselang,401033610,,,,,,,40,14,180,732,74,8,5,20,1,2,0,0,11,0,1,0,3,12-08-2020,5.5,MC
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,22,78,13090,1620,80,3,4,20,7,8,2,4,10,8,6,3,3,20-12-2020,5.5,EI
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,30,23,6530,1150,188,5,3,20,8,7,1,3,9,6,6,7,6,23-12-2020,6.5,DEL
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,20,0,3890,708,46,2,2,19,7,7,1,4,8,4,7,3,4,23-12-2020,5,MC
Italia,20,Paolo Prada,448909876,,,,,,,20,59,5500,780,46,2,4,19,5,8,1,5,8,3,7,4,1,23-12-2020,4.5,MC
Irlanda,5,Bosco Coyne,432091322,,,,,,,29,6,4280,840,158,6,6,20,6,7,1,8,7,3,3,6,4,23-12-2020,4.5,LI
España,9,Mauro Albelda,426590336,,Técnico,,,1,,30,32,1940,588,174,4,3,20,4,6,1,5,7,4,6,7,1,11-11-2020,4.5,DEL
Rumanía,12,Fănică Teacu,433196899,,,,1,,,28,98,2780,1620,158,6,2,20,5,7,7,3,7,1,1,1,4,20-12-2020,3,POR
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,30,50,3130,852,175,6,1,20,6,7,1,8,7,4,3,3,2,23-12-2020,4.5,DC
Colombia,34,Daniel Otero,455416321,,Técnico,,,,,17,102,720,290,13,2,6,11,4,7,2,5,7,4,4,2,4,23-12-2020,3,MC
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,31,23,2070,540,175,6,2,20,6,7,1,8,6,4,5,6,6,20-12-2020,4,DC
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,28,59,2390,612,158,4,2,20,7,7,1,8,6,4,4,4,1,23-12-2020,4,LD
