Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Chile,10,Oskar Aizpuru,427812596,,,,,1,,29,90,162250,77184,187,7,5,20,7,7,1,4,18,4,5,6,3,16-12-2020,9,MC
Alemania,14,Luca Kopetzky,427835263,,,,,1,,29,76,78670,39924,186,5,4,20,7,7,1,3,16,3,4,4,3,09-12-2020,8,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,30,60,50280,37944,186,4,6,20,4,7,1,3,16,4,3,2,3,13-12-2020,6,MC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,25,4,62150,27780,125,3,3,20,6,8,1,3,15,5,5,3,3,13-12-2020,7.5,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,27,30,66660,28056,141,2,2,20,8,7,1,4,15,2,3,4,4,13-12-2020,7,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,77,48730,22356,184,8,4,20,5,7,1,4,14,7,5,3,1,13-12-2020,5.5,ED
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,29,64,38820,18600,184,7,2,20,5,7,1,2,14,7,5,6,5,13-12-2020,5.5,EI
Colombia,29,Weibar Cerquera,438673853,,Potente,,,2,,25,63,35230,10570,111,2,4,20,6,8,1,2,13,3,3,5,4,13-12-2020,6.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,26,15,28090,7836,137,4,5,20,8,8,1,2,12,7,5,5,5,16-12-2020,5.5,ED
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,88,18670,3470,56,2,6,20,8,8,1,4,12,3,5,2,3,16-12-2020,7,MC
Alemania,35,Walter Brieselang,401033610,,,,,,,40,6,230,732,72,8,5,20,2,2,0,0,11,0,1,0,3,12-08-2020,5.5,MC
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,22,70,12550,1620,79,3,4,20,7,8,2,4,10,8,6,3,3,16-12-2020,6,EI
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,30,15,6500,1150,187,5,3,20,7,7,1,3,9,6,6,7,6,16-12-2020,6.5,DEL
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,19,104,3680,468,45,2,2,19,7,7,1,4,8,4,7,3,4,16-12-2020,4.5,MC
Italia,20,Paolo Prada,448909876,,,,,,,20,51,5310,780,45,2,4,19,5,8,1,5,8,3,7,4,1,16-12-2020,4,MC
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,110,5070,876,157,6,6,20,6,7,1,8,7,3,3,6,4,16-12-2020,4.5,LI
España,9,Mauro Albelda,426590336,,Técnico,,,1,,30,24,2100,588,173,4,3,20,5,6,1,5,7,4,6,7,1,11-11-2020,4.5,DEL
Rumanía,12,Fănică Teacu,433196899,,,,,,,28,90,2780,1620,156,6,2,20,4,7,7,3,7,1,1,1,4,16-12-2020,3.5,POR
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,30,42,2990,852,174,6,1,20,5,7,1,8,7,4,3,3,2,16-12-2020,4,DC
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,31,15,2000,540,174,6,2,20,6,7,1,8,6,4,5,6,6,13-12-2020,4.5,DC
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,28,51,2290,612,156,4,2,20,6,7,1,8,6,4,4,4,1,16-12-2020,4,LD
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,27,62,21260,3636,107,6,4,20,7,7,1,4,6,3,8,11,1,13-12-2020,8.5,DEL
Irán,26,Farjad Amjadi,432094261,,,,,,,27,43,53720,17868,83,7,5,20,7,7,1,14,6,3,4,6,4,13-12-2020,7,DC
Colombia,34,Daniel Otero,455416321,,Técnico,,,,,17,94,720,290,12,2,6,10,5,6,2,5,6,4,4,2,4,16-12-2020,3.5,MC
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,31,6,400,290,187,2,3,20,5,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,32,100,190,290,187,3,1,20,5,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Colombia,98,Gonzalo Albán,427777420,,,1,,,,30,2,750,360,187,3,6,20,4,6,1,7,6,4,5,2,5,02-12-2020,2.5,LI
Suiza,27,Maximilian Gmünder,426697959,,,,,,,29,24,22360,14148,84,7,4,20,3,7,1,14,5,3,4,5,3,13-12-2020,4.5,DC
Austria,32,Alfred Vejdovszky,431124773,,,,,1,,27,55,19660,5220,109,6,2,20,7,7,1,5,5,6,5,11,3,13-12-2020,7,DEL
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,18,7,1710,390,16,2,4,12,5,7,1,2,5,6,7,3,3,16-12-2020,3,MC
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,31,45,48810,26820,30,8,2,16,8,6,1,16,4,2,4,2,5,16-12-2020,8.5,DC
Venezuela,92,Israel Arteaga,428808648,,,,,,,28,78,600,444,174,2,5,20,4,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,33,1,1380,610,187,4,2,20,5,5,6,2,2,1,1,0,5,09-12-2020,2.5,POR
Suiza,,Achille Lev,439739663,1,Imprevisible,,,,,37,89,0,300,30,7,7,16,1,3,0,4,2,0,0,0,6,09-09-2020,0.5,LI
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,38,101,20,280,187,7,1,20,2,3,3,1,1,0,0,0,1,09-09-2020,1.5,POR
Túnez,25,Karim Ati,399199147,,,,,,,37,91,11120,1776,14,15,3,11,7,4,13,2,1,0,0,0,0,13-12-2020,5.5,POR
