Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Chile,10,Oskar Aizpuru,427812596,,,,,,,29,6,126690,77184,175,7,5,20,6,7,1,4,18,4,4,6,3,20-09-2020,9,MC
Alemania,14,Luca Kopetzky,427835263,,,,,,,28,104,64910,38772,174,5,4,20,5,7,1,3,16,3,4,4,3,20-09-2020,7.5,MC
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,30,73,58290,30840,18,8,2,12,7,6,1,16,4,2,4,2,5,06-09-2020,7.5,DC
Austria,32,Alfred Vejdovszky,431124773,,,,,,,26,83,17470,5220,97,6,2,20,6,7,1,5,5,6,4,11,3,20-09-2020,7,DEL
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,27,105,50530,18468,172,7,4,20,6,7,1,4,14,7,4,3,1,20-09-2020,7,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,29,88,65220,38844,174,4,6,20,6,6,1,3,16,4,3,2,3,20-09-2020,6.5,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,58,52220,22452,129,2,2,20,7,7,1,4,14,2,2,4,4,20-09-2020,6.5,MC
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,,,26,90,12920,3612,95,5,4,20,4,7,1,4,6,3,7,11,1,20-09-2020,6.5,DEL
Irán,26,Farjad Amjadi,432094261,,,,,,,26,71,43660,17868,71,6,5,20,5,7,1,14,5,3,4,6,4,06-09-2020,6,LI
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,32,52780,21444,113,3,3,20,7,8,1,3,14,5,4,3,3,23-09-2020,6,MC
Túnez,25,Karim Ati,399199147,,,,,,,37,7,7700,1776,2,15,3,5,3,3,13,3,1,0,0,0,1,26-04-2020,6,POR
Suiza,27,Maximilian Gmünder,426697959,,,,,,,28,52,38910,15684,72,7,4,20,7,7,1,14,5,3,4,5,3,06-09-2020,6,LD
Alemania,35,Walter Brieselang,401033610,,,,,,,39,34,710,1404,61,8,5,20,3,3,0,0,12,0,2,0,4,12-08-2020,5.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,25,43,22470,5820,125,4,5,20,7,8,1,2,12,7,3,5,5,23-09-2020,5.5,ED
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,4,10520,3470,44,2,6,19,7,8,1,4,11,3,4,2,3,23-09-2020,5.5,MC
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,,,28,92,39880,17604,172,7,2,20,6,7,1,2,14,7,4,6,5,20-09-2020,5,EI
Bélgica,4,Erik Janssens,432292771,,,,,,,27,69,4000,660,144,3,4,20,8,7,1,8,7,3,4,4,3,23-09-2020,5,DC
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,29,70,3840,900,162,6,1,20,6,7,1,8,7,4,3,3,2,16-09-2020,5,DC
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,29,43,5250,1060,175,4,3,20,5,7,1,3,9,6,5,7,6,23-09-2020,4.5,DEL
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,26,4770,876,145,6,6,20,6,7,1,8,7,3,2,6,4,23-09-2020,4.5,DC
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,21,98,7670,1044,67,3,4,20,6,8,2,4,9,8,5,3,3,23-09-2020,4.5,EI
España,9,Mauro Albelda,426590336,,Técnico,,,,,29,52,2470,600,161,4,3,20,5,7,1,5,7,4,5,7,1,23-09-2020,4.5,DEL
Italia,20,Paolo Prada,448909876,,,,,,,19,79,4060,468,33,2,4,16,7,7,1,5,8,3,7,4,1,23-09-2020,4.5,MC
Italia,6,Gino Ambrogetti,427067471,,Cabeceador,,,,,28,49,3870,732,145,4,5,20,7,7,1,8,7,3,3,5,4,16-09-2020,4,DC
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,30,43,2440,564,162,6,2,20,6,6,1,8,6,4,5,6,6,16-09-2020,4,LI
Colombia,98,Gonzalo Albán,427777420,,,1,,,,29,30,610,380,175,3,6,20,2,6,1,7,5,4,5,2,5,10-05-2020,4,DC
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,19,20,2310,468,33,2,2,16,7,7,1,4,7,4,7,3,4,23-09-2020,4,MC
Rumanía,12,Fănică Teacu,433196899,,,,,,,28,6,3800,1620,145,5,2,20,7,7,7,3,6,1,1,1,4,23-09-2020,4,POR
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,32,16,180,290,175,3,1,20,3,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Colombia,29,Weibar Cerquera,438673853,,Potente,,,,,24,91,30560,8090,99,2,4,20,7,8,1,2,13,3,3,5,4,23-09-2020,3.5,DEL
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,79,1840,612,144,4,2,20,4,6,1,8,6,4,4,4,1,22-07-2020,3.5,LD
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,30,34,460,310,175,2,3,20,4,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,17,35,1100,310,4,2,4,6,5,6,1,2,4,6,7,3,3,23-09-2020,2.5,DEL
Colombia,34,Daniel Otero,455416321,,Técnico,,,,,17,10,380,290,0,2,6,2,6,5,2,5,6,4,3,2,4,23-09-2020,2.5,MC
Venezuela,92,Israel Arteaga,428808648,,,,,,,27,106,770,444,162,2,5,20,4,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,38,17,70,280,175,7,1,20,5,3,4,2,2,0,0,0,1,09-09-2020,1.5,POR
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,32,29,1210,690,175,4,2,20,3,5,6,2,2,1,1,1,5,26-08-2020,1.5,POR
Suiza,,Achille Lev,439739663,1,Imprevisible,,,,,37,5,0,300,18,7,7,12,1,3,0,4,3,1,0,0,6,09-09-2020,0.5,LI
