Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,21,42,7090,1044,59,3,4,20,8,8,2,4,9,8,5,3,3,26-07-2020,5.5,EI
Austria,32,Alfred Vejdovszky,431124773,,,,,,,26,27,17230,5220,89,5,2,20,7,7,1,5,5,6,3,11,3,26-07-2020,7,DEL
Rumanía,12,Fănică Teacu,433196899,,,,,,,27,62,3800,1596,136,5,2,20,7,7,7,3,6,1,1,1,4,29-07-2020,4,POR
Irán,26,Farjad Amjadi,432094261,,,,,,,26,15,54830,17868,63,6,5,20,7,7,1,14,5,3,4,6,4,26-07-2020,6.5,DC
Colombia,16,Norberto Peña,427777432,,Potente,1,2,1,,28,99,4650,1010,167,4,3,20,7,7,1,3,9,6,5,7,6,29-07-2020,5,EI
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,27,49,51180,18468,164,7,4,20,7,7,1,4,14,7,4,3,1,29-07-2020,6,EI
Alemania,35,Walter Brieselang,401033610,,,,,,,38,90,1940,2472,52,8,5,20,7,3,0,1,13,0,3,0,4,26-07-2020,5,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,2,48090,22452,121,2,2,20,7,7,1,4,14,2,2,4,4,26-07-2020,6,MC
Rusia,44,Albert Kurylev,377934834,,,,,,,41,13,3250,1572,39,15,2,18,6,2,13,0,1,0,0,0,9,26-07-2020,4.5,POR
Bélgica,25,Arnout Delmotte,425693793,,Imprevisible,,,1,,28,59,95270,34668,8,5,4,9,6,7,1,16,4,4,9,4,9,29-07-2020,7,DC
Irlanda,5,Bosco Coyne,432091322,,,,,,,27,82,4940,852,136,6,6,20,6,7,1,8,7,3,2,6,4,29-07-2020,4,DC
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,19,60,6660,1890,36,2,6,17,6,7,1,4,10,3,3,2,3,26-07-2020,4,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,29,32,63500,38844,166,4,6,20,6,6,1,3,16,4,2,2,3,29-07-2020,6.5,MC
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,34,14630,3612,86,5,4,20,6,7,1,4,5,3,7,11,1,26-07-2020,6,DEL
Alemania,14,Luca Kopetzky,427835263,,,,,,,28,48,70150,38772,166,4,4,20,6,7,1,3,16,3,4,4,3,26-07-2020,7.5,MC
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,23,2330,612,136,4,2,20,6,7,1,8,6,4,4,4,1,22-07-2020,3.5,LD
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,18,76,1320,372,25,2,2,14,6,7,1,4,6,4,7,3,4,29-07-2020,3.5,MC
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,1,,,29,14,2900,900,154,6,1,20,6,6,1,8,7,4,3,3,2,15-07-2020,4.5,DC
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,24,35,25470,8090,91,2,4,20,6,8,1,2,13,3,2,5,4,29-07-2020,5.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,1,,24,99,14650,4380,117,4,5,20,5,8,1,2,11,7,3,5,5,29-07-2020,4,ED
Finlandia,7,Harri Pyykkö,425991616,,,,,1,,28,56,63440,36972,166,4,4,20,5,6,1,4,15,4,2,6,2,22-07-2020,3.5,MC
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,1,,30,17,50910,30840,9,8,2,9,5,6,1,16,4,2,4,2,5,26-07-2020,5.5,LI
España,9,Mauro Albelda,426590336,,Técnico,,,,,28,108,2630,636,153,4,3,20,5,6,1,5,6,4,4,8,1,29-07-2020,5,DEL
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,28,36,33170,17604,164,6,2,20,5,7,1,2,14,7,3,6,5,26-07-2020,4.5,EI
Italia,20,Paolo Prada,448909876,,,,,,,19,23,2190,468,25,2,4,14,5,7,1,5,7,3,7,4,1,29-07-2020,3,MC
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,31,72,310,310,167,3,1,20,4,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,31,85,1460,770,167,4,2,20,4,5,6,2,2,1,1,1,5,13-11-2019,3,POR
Bélgica,4,Erik Janssens,432292771,,,,,,,27,13,2810,660,136,3,4,20,4,7,1,8,7,3,4,4,3,29-07-2020,3.5,DC
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,37,73,140,290,167,7,1,20,4,3,4,2,2,0,0,0,2,08-01-2020,3,POR
Venezuela,92,Israel Arteaga,428808648,,,,,,,27,50,740,444,154,2,5,20,4,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Suiza,27,Maximilian Gmünder,426697959,,,,,,,27,108,34140,15684,64,6,4,20,4,7,1,14,4,3,4,5,3,26-07-2020,5,DC
Chile,10,Oskar Aizpuru,427812596,,,,,2,,28,62,126890,81408,167,7,5,20,4,7,1,4,18,4,4,6,3,26-07-2020,6,MC
Suiza,,Achille Lev,439739663,,Imprevisible,,,,,36,61,0,300,10,7,7,9,3,3,0,5,4,1,1,0,6,10-11-2019,3.5,DC
Colombia,,Alejandro Martínez,427777427,1,Técnico,1,,,,35,107,10,260,167,4,7,20,3,4,1,4,5,1,3,0,5,07-11-2018,2.5,DEL
Colombia,98,Gonzalo Albán,427777420,,,1,,,,28,86,920,390,167,3,6,20,3,6,1,7,5,4,5,2,5,10-05-2020,4,DC
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,29,90,520,320,167,2,3,20,3,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,29,99,1750,600,154,6,2,20,2,6,1,8,6,4,5,6,6,29-07-2020,2.5,LD
Italia,6,Gino Ambrogetti,427067471,,Cabeceador,,,,,27,105,2300,732,136,4,5,20,2,7,1,8,7,3,3,5,4,15-07-2020,3.5,DC
Bélgica,34,Watse Deschuymere,437261831,,,,,,,23,88,11160,16788,105,3,3,20,1,8,1,3,14,5,4,3,3,29-07-2020,1.5,MC
