Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Chile,10,Oskar Aizpuru,427812596,,,,,1,,29,69,155670,77184,184,7,5,20,7,7,1,4,18,4,5,6,3,22-11-2020,9.5,MC
Alemania,14,Luca Kopetzky,427835263,,,,,1,,29,55,72370,39924,183,5,4,20,6,7,1,3,16,3,4,4,3,25-11-2020,7.5,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,30,39,54450,37944,183,4,6,20,5,7,1,3,16,4,3,2,3,22-11-2020,7.5,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,27,9,51800,28056,138,2,2,20,5,7,1,4,15,2,3,4,4,22-11-2020,6,MC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,95,66850,21444,122,3,3,20,8,8,1,3,14,5,5,3,3,22-11-2020,8,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,56,47090,22356,181,8,4,20,5,7,1,4,14,7,5,3,1,25-11-2020,5.5,ED
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,29,43,42380,18600,181,7,2,20,7,7,1,2,14,7,5,6,5,22-11-2020,6,EI
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,25,42,34330,10570,108,2,4,20,7,8,1,2,13,3,3,5,4,22-11-2020,6,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,25,106,26740,5820,134,4,5,20,7,8,1,2,12,7,5,5,5,22-11-2020,6,ED
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,67,16100,3470,53,2,6,20,8,8,1,4,11,3,5,2,3,25-11-2020,6.5,MC
Alemania,35,Walter Brieselang,401033610,,,,,,,39,97,440,1404,69,8,5,20,3,2,0,0,11,0,1,0,3,12-08-2020,5.5,MC
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,22,49,12030,1620,76,3,4,20,7,8,2,4,10,8,6,3,3,25-11-2020,5.5,EI
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,29,106,7340,1060,184,5,3,20,7,7,1,3,9,6,6,7,6,25-11-2020,6,DEL
Italia,20,Paolo Prada,448909876,,,,,,,20,30,4660,780,42,2,4,18,5,8,1,5,8,3,7,4,1,25-11-2020,4.5,MC
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,89,5390,876,154,6,6,20,7,7,1,8,7,3,3,6,4,25-11-2020,5,DC
España,9,Mauro Albelda,426590336,,Técnico,,,1,,30,3,2650,588,170,4,3,20,7,6,1,5,7,4,6,7,1,11-11-2020,4.5,DEL
Rumanía,12,Fănică Teacu,433196899,,,,,,,28,69,3770,1620,153,6,2,20,7,7,7,3,7,1,1,1,4,22-11-2020,4,POR
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,30,21,1260,852,171,6,1,20,1,7,1,8,7,4,3,3,2,25-11-2020,2,DC
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,19,83,2750,468,42,2,2,18,6,7,1,4,7,4,7,3,4,25-11-2020,4,MC
