Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,107,16090,3612,97,5,4,20,6,7,1,4,6,3,8,11,1,11-10-2020,6.5,DEL
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,19,37,2640,468,36,2,2,17,8,7,1,4,7,4,7,3,4,07-10-2020,4.5,MC
Italia,20,Paolo Prada,448909876,,,,,,,19,96,4650,468,36,2,4,17,7,7,1,5,8,3,7,4,1,07-10-2020,5,MC
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,17,52,1300,310,6,2,4,8,6,6,1,2,4,6,7,3,3,07-10-2020,2.5,MC
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,29,60,5170,1060,178,5,3,20,4,7,1,3,9,6,6,7,6,07-10-2020,4.5,DEL
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,30,51,430,310,178,2,3,20,4,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,30,60,2550,564,164,6,2,20,6,6,1,8,6,4,5,6,6,07-10-2020,4,DC
España,9,Mauro Albelda,426590336,,Técnico,,,1,,29,69,2880,600,164,4,3,20,7,6,1,5,7,4,5,7,1,07-10-2020,5,DEL
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,22,3,8290,1620,70,3,4,20,6,8,2,4,9,8,5,3,3,04-10-2020,5,EI
Colombia,98,Gonzalo Albán,427777420,,,1,,,,29,47,530,380,178,3,6,20,2,6,1,7,5,4,5,2,5,10-05-2020,4,DC
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,96,1600,612,147,4,2,20,3,6,1,8,6,4,4,4,1,07-10-2020,3,DC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,49,55300,21444,116,3,3,20,7,8,1,3,14,5,4,3,3,11-10-2020,7.5,MC
Chile,10,Oskar Aizpuru,427812596,,,,,,,29,23,135280,77184,177,7,5,20,6,6,1,4,18,4,4,6,3,11-10-2020,8.5,MC
Alemania,14,Luca Kopetzky,427835263,,,,,,,29,9,47220,39924,177,5,4,20,4,6,1,3,16,3,4,4,3,11-10-2020,5.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,25,60,23080,5820,127,4,5,20,7,8,1,2,12,7,4,5,5,04-10-2020,5.5,ED
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,21,11620,3470,47,2,6,19,7,7,1,4,11,3,4,2,3,11-10-2020,6,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,10,43340,22356,175,8,4,20,6,7,1,4,14,7,4,3,1,11-10-2020,5.5,ED
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,30,90,54050,30840,20,8,2,13,6,6,1,16,4,2,4,2,5,11-10-2020,7.5,DC
Irán,26,Farjad Amjadi,432094261,,,,,,,26,88,38950,17868,74,6,5,20,4,7,1,14,5,3,4,6,4,11-10-2020,5.5,DC
Suiza,27,Maximilian Gmünder,426697959,,,,,,,28,69,39710,15684,74,7,4,20,7,7,1,14,5,3,4,5,3,11-10-2020,7.5,DC
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,1,,28,109,41430,17604,175,7,2,20,6,7,1,2,14,7,4,6,5,11-10-2020,5,EI
Austria,32,Alfred Vejdovszky,431124773,,,,,,,26,100,16900,5220,100,6,2,20,6,7,1,5,5,6,4,11,3,11-10-2020,6.5,DEL
Venezuela,92,Israel Arteaga,428808648,,,,,,,28,11,630,444,164,2,5,20,4,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,32,33,110,290,178,3,1,20,2,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,43,4940,876,147,6,6,20,7,7,1,8,7,3,3,6,4,07-10-2020,4,DEL
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,29,87,3340,900,164,6,1,20,5,6,1,8,7,4,3,3,2,04-10-2020,3.5,DC
Argentina,23,Huberto Marquet,427791661,,,,,,,29,105,65020,38844,177,4,6,20,6,6,1,3,16,4,3,2,3,11-10-2020,7,MC
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,24,108,30600,8090,101,2,4,20,7,8,1,2,13,3,3,5,4,04-10-2020,6.5,MC
Colombia,34,Daniel Otero,455416321,,Técnico,,,,,17,27,400,290,2,2,6,5,6,5,2,5,6,4,3,2,4,07-10-2020,2.5,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,75,55960,22452,132,2,2,20,8,7,1,4,14,2,2,4,4,11-10-2020,7.5,MC
Alemania,35,Walter Brieselang,401033610,,,,,,,39,51,600,1404,63,8,5,20,3,2,0,0,12,0,2,0,3,12-08-2020,5.5,MC
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,32,46,1410,690,178,4,2,20,4,5,6,2,2,1,1,1,5,26-08-2020,1.5,POR
Rumanía,12,Fănică Teacu,433196899,,,,,,,28,23,4010,1620,147,5,2,20,8,7,7,3,6,1,1,1,4,11-10-2020,4,POR
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,38,34,50,280,178,7,1,20,3,3,4,2,1,0,0,0,1,09-09-2020,1.5,POR
Túnez,25,Karim Ati,399199147,,,,,,,37,24,10160,1776,4,15,3,6,5,3,13,3,1,0,0,0,0,27-09-2020,3.5,POR
Suiza,,Achille Lev,439739663,1,Imprevisible,,,,,37,22,0,300,20,7,7,13,1,3,0,4,3,1,0,0,6,09-09-2020,0.5,LI
