Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,111,15970,3612,98,5,4,20,5,7,1,4,6,3,8,11,1,11-10-2020,6.5,DEL
Austria,32,Alfred Vejdovszky,431124773,,,,,,,26,104,17710,5220,100,6,2,20,6,7,1,5,5,6,4,11,3,11-10-2020,6.5,DEL
España,9,Mauro Albelda,426590336,,Técnico,,,1,,29,73,2940,600,164,4,3,20,7,6,1,5,7,4,5,7,1,07-10-2020,5,DEL
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,29,64,5200,1060,178,5,3,20,4,7,1,3,9,6,6,7,6,14-10-2020,4.5,DEL
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,30,64,2660,564,165,6,2,20,7,6,1,8,6,4,5,6,6,14-10-2020,4.5,LI
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,47,4800,876,148,6,6,20,6,7,1,8,7,3,3,6,4,14-10-2020,4.5,LD
Chile,10,Oskar Aizpuru,427812596,,,,,,,29,27,140050,77184,178,7,5,20,7,7,1,4,18,4,4,6,3,11-10-2020,8.5,MC
Irán,26,Farjad Amjadi,432094261,,,,,,,26,92,48720,17868,74,6,5,20,6,7,1,14,5,3,4,6,4,11-10-2020,5.5,DC
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,1,,29,1,36770,18600,175,7,2,20,6,7,1,2,14,7,4,6,5,11-10-2020,5,EI
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,25,64,23840,5820,128,4,5,20,7,8,1,2,12,7,4,5,5,14-10-2020,5.5,ED
Suiza,27,Maximilian Gmünder,426697959,,,,,,,28,73,40580,15684,75,7,4,20,7,7,1,14,5,3,4,5,3,14-10-2020,7.5,DC
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,25,0,31880,10570,102,2,4,20,7,8,1,2,13,3,3,5,4,14-10-2020,6.5,MC
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,100,1540,612,147,4,2,20,3,6,1,8,6,4,4,4,1,07-10-2020,3,DC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,79,58550,22452,132,2,2,20,8,7,1,4,14,2,2,4,4,14-10-2020,7,MC
Alemania,14,Luca Kopetzky,427835263,,,,,,,29,13,55470,39924,177,5,4,20,4,7,1,3,16,3,4,4,3,14-10-2020,5.5,MC
Italia,20,Paolo Prada,448909876,,,,,,,19,100,4650,468,36,2,4,17,7,7,1,5,8,3,7,4,1,07-10-2020,5,MC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,53,58800,21444,116,3,3,20,8,8,1,3,14,5,4,3,3,14-10-2020,7.5,MC
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,29,91,3210,900,165,6,1,20,5,6,1,8,7,4,3,3,2,04-10-2020,3.5,DC
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,19,41,2630,468,36,2,2,17,8,7,1,4,7,4,7,3,4,07-10-2020,4.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,14,43990,22356,175,8,4,20,6,7,1,4,14,7,4,3,1,11-10-2020,5.5,ED
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,22,7,8640,1620,70,3,4,20,6,8,2,4,9,8,5,3,3,14-10-2020,5,EI
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,17,56,1340,310,7,2,4,8,6,6,1,2,4,6,7,3,3,07-10-2020,2.5,MC
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,30,55,480,310,178,2,3,20,5,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,25,12590,3470,47,2,6,19,7,8,1,4,11,3,4,2,3,14-10-2020,6.5,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,29,109,67410,38844,177,4,6,20,6,6,1,3,16,4,3,2,3,14-10-2020,7,MC
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,30,94,52010,30840,21,8,2,13,6,6,1,16,4,2,4,2,5,14-10-2020,7.5,DC
Colombia,34,Daniel Otero,455416321,,Técnico,,,,,17,31,410,290,3,2,6,6,6,5,2,5,6,4,3,2,4,07-10-2020,2.5,MC
Venezuela,92,Israel Arteaga,428808648,,,,,,,28,15,590,444,165,2,5,20,4,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Colombia,98,Gonzalo Albán,427777420,,,1,,,,29,51,520,380,178,3,6,20,2,6,1,7,5,4,5,2,5,10-05-2020,4,DC
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,32,50,1360,690,178,4,2,20,4,5,6,2,2,1,1,1,5,26-08-2020,1.5,POR
Rumanía,12,Fănică Teacu,433196899,,,,,,,28,27,4010,1620,147,5,2,20,8,7,7,3,6,1,1,1,4,14-10-2020,4,POR
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,32,37,110,290,178,3,1,20,2,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,38,38,50,280,178,7,1,20,3,3,4,2,1,0,0,0,1,09-09-2020,1.5,POR
Túnez,25,Karim Ati,399199147,,,,,,,37,28,8810,1776,5,15,3,7,4,3,13,3,1,0,0,0,0,27-09-2020,3.5,POR
Alemania,35,Walter Brieselang,401033610,,,,,,,39,55,610,1404,63,8,5,20,3,2,0,0,12,0,2,0,3,12-08-2020,5.5,MC
Suiza,,Achille Lev,439739663,1,Imprevisible,,,,,37,26,0,300,21,7,7,13,3,3,0,4,3,1,0,0,6,09-09-2020,0.5,LI
