Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,83,15310,3612,94,5,4,20,6,7,1,4,6,3,7,11,1,06-09-2020,7,DEL
Austria,32,Alfred Vejdovszky,431124773,,,,,1,,26,76,17660,5220,96,5,2,20,6,7,1,5,5,6,3,11,3,06-09-2020,7.5,DEL
España,9,Mauro Albelda,426590336,,Técnico,,,,,29,45,2390,600,160,4,3,20,5,7,1,5,7,4,4,7,1,09-09-2020,4,DEL
Colombia,16,Norberto Peña,427777432,,Potente,1,,1,,29,36,5290,1060,174,4,3,20,5,7,1,3,9,6,5,7,6,16-09-2020,4.5,DEL
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,30,36,2210,564,161,6,2,20,5,6,1,8,6,4,5,6,6,16-09-2020,4,LI
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,19,4700,876,144,6,6,20,6,7,1,8,7,3,2,6,4,02-09-2020,4,LI
Chile,10,Oskar Aizpuru,427812596,,,,,2,,28,111,164010,81408,174,7,5,20,7,7,1,4,18,4,4,6,3,06-09-2020,8.5,MC
Irán,26,Farjad Amjadi,432094261,,,,,,,26,64,45810,17868,70,6,5,20,5,7,1,14,5,3,4,6,4,06-09-2020,6,LI
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,28,85,39120,17604,171,7,2,20,6,7,1,2,14,7,3,6,5,06-09-2020,5,MC
Italia,6,Gino Ambrogetti,427067471,,Cabeceador,,,,,28,42,3680,732,144,4,5,20,6,7,1,8,7,3,3,5,4,16-09-2020,4,DC
Costa Rica,15,Abdulad Conejo,435765263,,,,,1,,25,36,22480,5820,124,4,5,20,7,8,1,2,12,7,3,5,5,16-09-2020,5.5,ED
Suiza,27,Maximilian Gmünder,426697959,,,,,1,,28,45,38270,15684,71,7,4,20,7,7,1,14,5,3,4,5,3,06-09-2020,6,LD
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,24,84,29160,8090,98,2,4,20,6,8,1,2,13,3,2,5,4,16-09-2020,3.5,EI
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,72,1920,612,144,4,2,20,4,6,1,8,6,4,4,4,1,22-07-2020,3.5,LD
Bélgica,4,Erik Janssens,432292771,,,,,,,27,62,4020,660,143,3,4,20,8,7,1,8,7,3,4,4,3,16-09-2020,4.5,DC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,51,51480,22452,128,2,2,20,7,7,1,4,14,2,2,4,4,06-09-2020,6.5,MC
Alemania,14,Luca Kopetzky,427835263,,,,,,,28,97,73280,38772,173,5,4,20,6,7,1,3,16,3,4,4,3,06-09-2020,7,MC
Italia,20,Paolo Prada,448909876,,,,,,,19,72,3710,468,32,2,4,16,7,7,1,5,8,3,7,4,1,16-09-2020,4.5,MC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,25,47560,21444,113,3,3,20,6,8,1,3,14,5,4,3,3,16-09-2020,5.5,MC
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,29,63,3880,900,161,6,1,20,6,7,1,8,7,4,3,3,2,16-09-2020,5,DC
