Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Chile,10,Oskar Aizpuru,427812596,,,,,2,,28,91,158240,81408,171,7,5,20,7,6,1,4,18,4,4,6,3,23-08-2020,8,MC
Alemania,14,Luca Kopetzky,427835263,,,,,,,28,77,71200,38772,170,5,4,20,6,6,1,3,16,3,4,4,3,26-08-2020,7,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,29,61,60930,38844,170,4,6,20,6,6,1,3,16,4,2,2,3,26-08-2020,6,MC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,5,39130,21444,110,3,3,20,5,7,1,3,14,5,4,3,3,23-08-2020,5,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,31,46270,22452,125,2,2,20,6,7,1,4,14,2,2,4,4,23-08-2020,5.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,1,,27,78,50670,18468,168,7,4,20,7,7,1,4,14,7,4,3,1,23-08-2020,6,ED
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,28,65,36100,17604,168,6,2,20,5,7,1,2,14,7,3,6,5,26-08-2020,4.5,EI
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,24,64,25520,8090,95,2,4,20,6,7,1,2,13,3,2,5,4,19-08-2020,6,MC
Alemania,35,Walter Brieselang,401033610,,,,,,,39,7,1330,1404,57,8,5,20,5,3,0,0,13,0,3,0,4,12-08-2020,5.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,1,,25,16,19740,5820,121,4,5,20,7,7,1,2,12,7,3,5,5,23-08-2020,5,ED
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,19,89,9540,1890,40,2,6,18,7,7,1,4,11,3,3,2,3,26-08-2020,5,MC
Colombia,16,Norberto Peña,427777432,,Potente,1,,1,,29,16,4470,1060,171,4,3,20,4,6,1,3,9,6,5,7,6,26-08-2020,3.5,ED
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,21,71,6920,1044,63,3,4,20,6,7,2,4,9,8,5,3,3,23-08-2020,5,EI
Bélgica,4,Erik Janssens,432292771,,,,,,,27,42,3610,660,141,3,4,20,7,6,1,8,7,3,4,4,3,26-08-2020,4.5,DC
Irlanda,5,Bosco Coyne,432091322,,,,,,,27,111,4960,852,141,6,6,20,6,7,1,8,7,3,2,6,4,26-08-2020,4,LD
Italia,6,Gino Ambrogetti,427067471,,Cabeceador,,,,,28,22,2890,732,141,4,5,20,4,7,1,8,7,3,3,5,4,26-08-2020,2.5,DC
España,9,Mauro Albelda,426590336,,Técnico,,,,,29,25,2190,600,157,4,3,20,5,6,1,5,7,4,4,7,1,26-08-2020,4.5,DEL
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,29,43,3500,900,158,6,1,20,6,6,1,8,7,4,3,3,2,26-08-2020,4,DC
Italia,20,Paolo Prada,448909876,,,,,,,19,52,3110,468,29,2,4,15,7,7,1,5,7,3,7,4,1,26-08-2020,4,MC
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,30,16,2360,564,158,6,2,20,6,6,1,8,6,4,5,6,6,29-07-2020,2.5,LD
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,52,2010,612,141,4,2,20,5,6,1,8,6,4,4,4,1,22-07-2020,3.5,LD
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,63,15720,3612,91,5,4,20,6,7,1,4,6,3,7,11,1,23-08-2020,7,DEL
Rumanía,12,Fănică Teacu,433196899,,,,,,,27,91,3590,1596,141,5,2,20,6,7,7,3,6,1,1,1,4,23-08-2020,4,POR
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,18,105,1500,372,29,2,2,15,5,7,1,4,6,4,7,3,4,26-08-2020,3,MC
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,30,7,330,310,171,2,3,20,2,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,31,101,290,310,171,3,1,20,5,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Irán,26,Farjad Amjadi,432094261,,,,,,,26,44,46690,17868,67,6,5,20,5,7,1,14,5,3,4,6,4,23-08-2020,5.5,LI
Austria,32,Alfred Vejdovszky,431124773,,,,,,,26,56,17650,5220,93,5,2,20,7,7,1,5,5,6,3,11,3,23-08-2020,7,DEL
Colombia,98,Gonzalo Albán,427777420,,,1,,,,29,3,570,380,171,3,6,20,2,6,1,7,5,4,5,2,5,10-05-2020,4,DC
Colombia,,Alejandro Martínez,427777427,1,Técnico,1,,,,36,24,10,250,171,4,7,20,4,3,1,4,5,1,3,0,5,07-11-2018,2.5,DEL
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,1,,30,46,51950,30840,14,8,2,11,6,6,1,16,4,2,4,2,5,23-08-2020,7,DC
Suiza,27,Maximilian Gmünder,426697959,,,,,1,,28,25,27620,15684,68,7,4,20,4,7,1,14,4,3,4,5,3,23-08-2020,5,DC
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,17,8,810,310,0,2,4,3,6,5,1,2,4,6,7,3,3,26-08-2020,2,MC
Venezuela,92,Israel Arteaga,428808648,,,,,,,27,79,490,444,158,2,5,20,2,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Suiza,,Achille Lev,439739663,,Imprevisible,,,,,36,90,0,300,14,7,7,11,3,2,0,4,3,1,1,0,6,10-11-2019,3.5,DC
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,32,2,1010,690,171,4,2,20,2,5,6,2,2,1,1,1,5,26-08-2020,1.5,POR
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,37,102,120,290,171,7,1,20,5,3,4,2,2,0,0,0,1,08-01-2020,3,POR
Rusia,44,Albert Kurylev,377934834,,,,999,,,41,42,2660,1572,43,16,2,19,7,2,12,0,1,0,0,0,8,23-08-2020,5,POR
