Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,27,17,18810,3636,100,6,4,20,7,7,1,4,6,3,8,11,1,01-11-2020,7.5,DEL
Austria,32,Alfred Vejdovszky,431124773,,,,,1,,27,10,18640,5220,103,6,2,20,7,7,1,5,5,6,4,11,3,01-11-2020,7.5,DEL
España,9,Mauro Albelda,426590336,,Técnico,,,1,,29,91,2510,600,167,4,3,20,5,6,1,5,7,4,5,7,1,07-10-2020,5,DEL
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,29,82,6070,1060,181,5,3,20,6,6,1,3,9,6,6,7,6,14-10-2020,4.5,DEL
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,30,82,2650,564,167,6,2,20,6,7,1,8,6,4,5,6,6,01-11-2020,4.5,DC
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,65,4700,876,150,6,6,20,6,7,1,8,7,3,3,6,4,21-10-2020,4.5,LD
Chile,10,Oskar Aizpuru,427812596,,,,,,,29,45,148960,77184,180,7,5,20,7,7,1,4,18,4,4,6,3,01-11-2020,9,MC
Irán,26,Farjad Amjadi,432094261,,,,,,,26,110,58120,17868,77,7,5,20,8,7,1,14,5,3,4,6,4,01-11-2020,8,DC
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,29,19,39610,18600,178,7,2,20,7,7,1,2,14,7,4,6,5,25-10-2020,5.5,EI
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,25,82,25290,5820,130,4,5,20,8,8,1,2,12,7,4,5,5,01-11-2020,5.5,EI
Suiza,27,Maximilian Gmünder,426697959,,,,,,,28,91,41510,15684,77,7,4,20,8,7,1,14,5,3,4,5,3,28-10-2020,7.5,DC
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,25,18,33880,10570,104,2,4,20,8,8,1,2,13,3,3,5,4,01-11-2020,6.5,MC
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,28,6,1280,612,150,4,2,20,3,6,1,8,6,4,4,4,1,07-10-2020,3,DC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,97,58670,22452,135,2,2,20,7,7,1,4,15,2,2,4,4,01-11-2020,7,MC
Alemania,14,Luca Kopetzky,427835263,,,,,1,,29,31,64470,39924,180,5,4,20,5,7,1,3,16,3,4,4,3,28-10-2020,6.5,MC
Italia,20,Paolo Prada,448909876,,,,,,,20,6,3830,780,39,2,4,18,5,7,1,5,8,3,7,4,1,07-10-2020,5,MC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,71,62890,21444,119,3,3,20,8,8,1,3,14,5,4,3,3,01-11-2020,7.5,MC
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,29,109,3050,900,167,6,1,20,4,6,1,8,7,4,3,3,2,04-10-2020,3.5,DC
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,19,59,2030,468,39,2,2,18,5,7,1,4,7,4,7,3,4,07-10-2020,4.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,32,45630,22356,178,8,4,20,5,7,1,4,14,7,4,3,1,01-11-2020,5.5,ED
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,22,25,9310,1620,73,3,4,20,6,8,2,4,9,8,5,3,3,25-10-2020,5,ED
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,17,74,970,310,10,2,4,9,4,6,1,2,4,6,7,3,3,07-10-2020,2.5,MC
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,30,73,510,310,181,2,3,20,5,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,43,12930,3470,50,2,6,20,7,8,1,4,11,3,4,2,3,01-11-2020,6,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,30,15,56710,37944,180,4,6,20,6,7,1,3,16,4,3,2,3,01-11-2020,7,MC
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,31,0,49540,26820,23,8,2,14,5,6,1,16,4,2,4,2,5,01-11-2020,6.5,DC
Colombia,34,Daniel Otero,455416321,,Técnico,,,,,17,49,410,290,5,2,6,7,6,5,2,5,6,4,3,2,4,07-10-2020,2.5,MC
Venezuela,92,Israel Arteaga,428808648,,,,,,,28,33,670,444,167,2,5,20,5,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Colombia,98,Gonzalo Albán,427777420,,,1,,,,29,69,780,380,181,3,6,20,4,6,1,7,5,4,5,2,5,10-05-2020,4,DC
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,32,68,1470,690,181,4,2,20,5,5,6,2,2,1,1,1,5,26-08-2020,1.5,POR
Rumanía,12,Fănică Teacu,433196899,,,,,,,28,45,3970,1620,150,6,2,20,7,7,7,3,7,1,1,1,4,01-11-2020,4,POR
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,32,55,100,290,181,3,1,20,2,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,38,56,40,280,181,7,1,20,4,3,4,1,1,0,0,0,1,09-09-2020,1.5,POR
Túnez,25,Karim Ati,399199147,,,,,,,37,46,8510,1776,7,15,3,8,4,4,13,3,1,0,0,0,0,25-10-2020,3.5,POR
Alemania,35,Walter Brieselang,401033610,,,,,,,39,73,610,1404,66,8,5,20,4,2,0,0,12,0,2,0,3,12-08-2020,5.5,MC
Suiza,,Achille Lev,439739663,1,Imprevisible,,,,,37,44,0,300,23,7,7,14,5,3,0,4,3,0,0,0,6,09-09-2020,0.5,LI
