Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,30,3,52530,30840,7,8,2,8,6,6,1,16,4,2,4,2,5,15-07-2020,6,LD
Bélgica,25,Arnout Delmotte,425693793,,Imprevisible,,,1,,28,45,102800,34668,6,5,4,8,7,7,1,16,4,4,9,4,9,12-07-2020,6.5,LD
Irán,26,Farjad Amjadi,432094261,,,,,,,26,1,53050,17868,61,6,5,20,7,7,1,14,5,3,4,6,4,12-07-2020,6.5,LI
Suiza,27,Maximilian Gmünder,426697959,,,,,,,27,94,37670,15684,62,6,4,20,5,7,1,14,4,3,4,5,3,15-07-2020,6,DC
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,29,85,2570,600,152,6,2,20,4,6,1,8,6,4,5,6,6,31-05-2020,4.5,LD
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,9,2020,612,134,4,2,20,5,7,1,8,6,4,4,4,1,27-05-2020,4,DC
Bélgica,4,Erik Janssens,432292771,,,,,,,26,111,2440,660,134,3,4,20,4,7,1,8,7,3,4,4,3,10-05-2020,4,DC
Irlanda,5,Bosco Coyne,432091322,,,,,,,27,68,4550,852,134,6,6,20,5,7,1,8,7,3,2,6,4,31-05-2020,4.5,DC
Italia,6,Gino Ambrogetti,427067471,,Cabeceador,,,,,27,91,2820,732,134,4,5,20,3,7,1,8,7,3,3,5,4,15-07-2020,3.5,DC
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,3,,,29,0,2340,900,152,6,1,20,6,7,1,8,7,4,3,3,2,15-07-2020,4.5,DC
Venezuela,92,Israel Arteaga,428808648,,,,,,,27,36,570,444,152,2,5,20,2,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Colombia,98,Gonzalo Albán,427777420,,,1,,,,28,72,950,390,165,3,6,20,3,6,1,7,5,4,5,2,5,10-05-2020,4,DC
España,9,Mauro Albelda,426590336,,Técnico,,,,,28,94,3000,636,151,4,3,20,7,6,1,5,6,4,4,8,1,03-06-2020,4.5,DEL
Italia,20,Paolo Prada,448909876,,,,,,,19,9,1880,468,23,2,4,14,4,7,1,5,7,3,7,4,1,15-07-2020,2.5,MC
Austria,32,Alfred Vejdovszky,431124773,,,,,,,26,13,16850,5220,87,5,2,20,6,7,1,5,5,6,3,11,3,12-07-2020,7,DEL
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,31,58,360,310,165,3,1,20,5,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Suiza,,Achille Lev,439739663,,Imprevisible,,,,,36,47,0,300,8,7,7,8,4,3,0,5,4,1,1,0,6,10-11-2019,3.5,DC
Finlandia,7,Harri Pyykkö,425991616,,,,,1,,28,42,40850,36972,164,4,4,20,2,7,1,4,15,4,2,6,2,15-07-2020,4,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,25,100,44690,15252,119,2,2,20,6,7,1,4,14,2,2,4,4,12-07-2020,6,MC
Chile,10,Oskar Aizpuru,427812596,,,,,1,,28,48,122490,81408,165,7,5,20,4,7,1,4,18,4,4,6,3,12-07-2020,6.5,MC
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,20,11990,3612,84,5,4,20,4,7,1,4,5,3,7,11,1,12-07-2020,5,DEL
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,19,46,5650,1890,34,2,6,17,5,7,1,4,10,3,3,2,3,15-07-2020,4,MC
