Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Chile,10,Oskar Aizpuru,427812596,,,,,2,,28,85,157790,81408,170,7,5,20,7,6,1,4,18,4,4,6,3,16-08-2020,7.5,MC
Finlandia,7,Harri Pyykkö,425991616,,,,,2,1,28,79,72270,36972,169,4,4,20,6,6,1,4,16,4,2,6,2,16-08-2020,6.5,MC
Alemania,14,Luca Kopetzky,427835263,,,,,,,28,71,71660,38772,170,4,4,20,6,6,1,3,16,3,4,4,3,16-08-2020,7,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,29,55,54200,38844,169,4,6,20,5,6,1,3,16,4,2,2,3,16-08-2020,6,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,25,45330,22452,125,2,2,20,6,7,1,4,14,2,2,4,4,16-08-2020,6,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,1,,27,72,50590,18468,168,7,4,20,7,7,1,4,14,7,4,3,1,16-08-2020,5.5,ED
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,28,59,34650,17604,168,6,2,20,5,7,1,2,14,7,3,6,5,19-08-2020,4,EI
Bélgica,34,Watse Deschuymere,437261831,,,,,,,23,111,37330,16788,109,3,3,20,4,7,1,3,14,5,4,3,3,19-08-2020,4,MC
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,24,58,26600,8090,94,2,4,20,6,7,1,2,13,3,2,5,4,19-08-2020,6,MC
Alemania,35,Walter Brieselang,401033610,,,,,,,39,1,1720,1404,56,8,5,20,7,3,0,1,13,0,3,0,4,12-08-2020,5.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,1,,25,10,19060,5820,120,4,5,20,6,7,1,2,11,7,3,5,5,19-08-2020,5,ED
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,19,83,8760,1890,40,2,6,18,7,7,1,4,11,3,3,2,3,19-08-2020,5,MC
Colombia,16,Norberto Peña,427777432,,Potente,1,,1,,29,10,4330,1060,171,4,3,20,4,6,1,3,9,6,5,7,6,19-08-2020,4.5,MC
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,21,65,6690,1044,62,3,4,20,6,7,2,4,9,8,5,3,3,16-08-2020,5,EI
Bélgica,4,Erik Janssens,432292771,,,,,,,27,36,3490,660,140,3,4,20,7,6,1,8,7,3,4,4,3,29-07-2020,3.5,DC
Irlanda,5,Bosco Coyne,432091322,,,,,,,27,105,4940,852,140,6,6,20,6,7,1,8,7,3,2,6,4,19-08-2020,4,LD
Italia,6,Gino Ambrogetti,427067471,,Cabeceador,,,,,28,16,2150,732,140,4,5,20,3,7,1,8,7,3,3,5,4,19-08-2020,2.5,DC
España,9,Mauro Albelda,426590336,,Técnico,,,,,29,19,2250,600,157,4,3,20,5,6,1,5,7,4,4,7,1,19-08-2020,4.5,DEL
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,29,37,3360,900,157,6,1,20,6,6,1,8,7,4,3,3,2,19-08-2020,4,DC
Italia,20,Paolo Prada,448909876,,,,,,,19,46,2760,468,28,2,4,15,6,7,1,5,7,3,7,4,1,19-08-2020,3.5,MC
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,30,10,2290,564,157,6,2,20,5,6,1,8,6,4,5,6,6,29-07-2020,2.5,LD
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,46,2010,612,140,4,2,20,5,6,1,8,6,4,4,4,1,22-07-2020,3.5,LD
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,57,15820,3612,90,5,4,20,6,7,1,4,6,3,7,11,1,16-08-2020,6.5,DEL
Rumanía,12,Fănică Teacu,433196899,,,,,,,27,85,3730,1596,140,5,2,20,7,7,7,3,6,1,1,1,4,19-08-2020,4,POR
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,18,99,1440,372,28,2,2,15,5,7,1,4,6,4,7,3,4,19-08-2020,3.5,MC
