Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,1,,30,36,51630,30840,12,8,2,10,6,6,1,16,4,2,4,2,5,16-08-2020,7,DC
Bélgica,25,Arnout Delmotte,425693793,,Imprevisible,,,1,,28,78,93260,34668,11,5,4,10,6,7,1,16,4,4,9,4,9,12-08-2020,7,DC
Irán,26,Farjad Amjadi,432094261,,,,,,,26,34,54210,17868,66,6,5,20,7,7,1,14,5,3,4,6,4,16-08-2020,7.5,DC
Suiza,27,Maximilian Gmünder,426697959,,,,,,,28,15,29420,15684,66,6,4,20,4,7,1,14,4,3,4,5,3,16-08-2020,5.5,DC
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,30,6,2160,564,156,6,2,20,5,6,1,8,6,4,5,6,6,29-07-2020,2.5,LD
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,42,2020,612,139,4,2,20,5,6,1,8,6,4,4,4,1,22-07-2020,3.5,LD
Bélgica,4,Erik Janssens,432292771,,,,,,,27,32,3380,660,139,3,4,20,6,6,1,8,7,3,4,4,3,29-07-2020,3.5,DC
Irlanda,5,Bosco Coyne,432091322,,,,,,,27,101,4930,852,139,6,6,20,6,7,1,8,7,3,2,6,4,12-08-2020,4,LD
Italia,6,Gino Ambrogetti,427067471,,Cabeceador,,,,,28,12,2050,732,139,4,5,20,2,7,1,8,7,3,3,5,4,12-08-2020,2.5,DC
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,29,33,3140,900,156,6,1,20,5,6,1,8,7,4,3,3,2,12-08-2020,4,DC
Venezuela,92,Israel Arteaga,428808648,,,,,,,27,69,660,444,156,2,5,20,3,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Colombia,98,Gonzalo Albán,427777420,,,1,,,,28,105,720,390,170,3,6,20,2,6,1,7,5,4,5,2,5,10-05-2020,4,DC
España,9,Mauro Albelda,426590336,,Técnico,,,,,29,15,2350,600,156,4,3,20,6,6,1,5,7,4,4,7,1,12-08-2020,4.5,DEL
Italia,20,Paolo Prada,448909876,,,,,,,19,42,2470,468,28,2,4,15,5,7,1,5,7,3,7,4,1,12-08-2020,3.5,MC
Austria,32,Alfred Vejdovszky,431124773,,,,,,,26,46,16000,5220,92,5,2,20,6,7,1,5,5,6,3,11,3,16-08-2020,6.5,DEL
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,31,91,210,310,170,3,1,20,3,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Finlandia,7,Harri Pyykkö,425991616,,,,,2,,28,75,68910,36972,169,4,4,20,6,6,1,4,16,4,2,6,2,16-08-2020,6.5,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,21,44990,22452,124,2,2,20,6,7,1,4,14,2,2,4,4,16-08-2020,6,MC
Chile,10,Oskar Aizpuru,427812596,,,,,2,,28,81,147400,81408,169,7,5,20,6,6,1,4,18,4,4,6,3,16-08-2020,7.5,MC
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,53,14580,3612,89,5,4,20,6,7,1,4,6,3,7,11,1,16-08-2020,6.5,DEL
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,19,79,7920,1890,39,2,6,18,6,7,1,4,11,3,3,2,3,16-08-2020,5,MC
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,18,95,1390,372,28,2,2,15,5,7,1,4,6,4,7,3,4,12-08-2020,3.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,1,,27,68,48620,18468,167,7,4,20,6,7,1,4,14,7,4,3,1,16-08-2020,5.5,ED
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,21,61,6890,1044,62,3,4,20,6,8,2,4,9,8,5,3,3,16-08-2020,5,EI
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,29,109,440,320,170,2,3,20,3,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Suiza,,Achille Lev,439739663,,Imprevisible,,,,,36,80,0,300,13,7,7,10,4,3,0,4,3,1,1,0,6,10-11-2019,3.5,DC
Colombia,,Alejandro Martínez,427777427,1,Técnico,1,,,,36,14,10,250,170,4,7,20,4,4,1,4,5,1,3,0,5,07-11-2018,2.5,DEL
Rumanía,12,Fănică Teacu,433196899,,,,,,,27,81,3930,1596,139,5,2,20,7,7,7,3,6,1,1,1,4,12-08-2020,4,POR
Alemania,14,Luca Kopetzky,427835263,,,,,,,28,67,71460,38772,169,4,4,20,6,6,1,3,16,3,4,4,3,16-08-2020,7,MC
Colombia,16,Norberto Peña,427777432,,Potente,1,,1,,29,6,4760,1060,170,4,3,20,5,6,1,3,9,6,5,7,6,29-07-2020,5,EI
