Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Chile,10,Oskar Aizpuru,427812596,,,,,1,,29,82,150750,77184,185,7,5,20,7,7,1,4,18,4,5,6,3,06-12-2020,9,MC
Alemania,14,Luca Kopetzky,427835263,,,,,1,,29,68,78180,39924,185,5,4,20,7,7,1,3,16,3,4,4,3,09-12-2020,8,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,30,52,51370,37944,185,4,6,20,5,7,1,3,16,4,3,2,3,06-12-2020,6,MC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,108,67800,21444,124,3,3,20,8,8,1,3,15,5,5,3,3,09-12-2020,8,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,27,22,58420,28056,140,2,2,20,6,7,1,4,15,2,3,4,4,06-12-2020,6.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,69,47020,22356,183,8,4,20,5,7,1,4,14,7,5,3,1,06-12-2020,6,EI
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,29,56,41310,18600,183,7,2,20,6,7,1,2,14,7,5,6,5,06-12-2020,6,MC
Colombia,29,Weibar Cerquera,438673853,,Potente,,,2,,25,55,34940,10570,109,2,4,20,7,8,1,2,13,3,3,5,4,09-12-2020,6.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,26,7,26780,7836,136,4,5,20,7,8,1,2,12,7,5,5,5,09-12-2020,5.5,ED
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,80,17120,3470,55,2,6,20,8,8,1,4,12,3,5,2,3,09-12-2020,6.5,MC
Alemania,35,Walter Brieselang,401033610,,,,,,,39,110,360,1404,71,8,5,20,3,2,0,0,11,0,1,0,3,12-08-2020,5.5,MC
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,22,62,12520,1620,78,3,4,20,8,8,2,4,10,8,6,3,3,09-12-2020,6,EI
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,30,7,6090,1150,186,5,3,20,7,7,1,3,9,6,6,7,6,09-12-2020,6,DEL
Italia,20,Paolo Prada,448909876,,,,,,,20,43,4910,780,44,2,4,19,5,8,1,5,8,3,7,4,1,09-12-2020,4,MC
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,102,5180,876,155,6,6,20,6,7,1,8,7,3,3,6,4,09-12-2020,4.5,LI
España,9,Mauro Albelda,426590336,,Técnico,,,1,,30,16,2720,588,172,4,3,20,8,6,1,5,7,4,6,7,1,11-11-2020,4.5,DEL
Rumanía,12,Fănică Teacu,433196899,,,,1,,,28,82,2950,1620,155,6,2,20,6,7,7,3,7,1,1,1,4,29-11-2020,4,POR
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,30,34,2280,852,172,6,1,20,3,7,1,8,7,4,3,3,2,09-12-2020,3.5,DC
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,19,96,3210,468,44,2,2,19,6,7,1,4,7,4,7,3,4,09-12-2020,4.5,MC
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,31,7,2180,540,172,6,2,20,7,7,1,8,6,4,5,6,6,06-12-2020,4.5,DC
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,28,43,1930,612,155,4,2,20,5,7,1,8,6,4,4,4,1,09-12-2020,3.5,LD
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,27,54,21210,3636,105,6,4,20,8,7,1,4,6,3,8,11,1,06-12-2020,8.5,DEL
Irán,26,Farjad Amjadi,432094261,,,,,,,27,35,43850,17868,82,7,5,20,5,7,1,14,6,3,4,6,4,06-12-2020,6,LI
Colombia,34,Daniel Otero,455416321,,Técnico,,,,,17,86,780,290,11,2,6,10,8,6,2,5,6,4,4,2,4,02-12-2020,3.5,MC
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,30,110,510,310,186,2,3,20,5,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,32,92,170,290,186,3,1,20,4,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Colombia,98,Gonzalo Albán,427777420,,,1,,,,29,106,770,380,186,3,6,20,3,6,1,7,6,4,5,2,5,02-12-2020,2.5,LI
Suiza,27,Maximilian Gmünder,426697959,,,,,,,29,16,20460,14148,83,7,4,20,3,7,1,14,5,3,4,5,3,09-12-2020,4.5,DC
Austria,32,Alfred Vejdovszky,431124773,,,,,1,,27,47,19540,5220,108,6,2,20,7,7,1,5,5,6,5,11,3,06-12-2020,7.5,DEL
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,17,111,1720,310,15,2,4,11,6,7,1,2,5,6,7,3,3,02-12-2020,3,MC
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,31,37,45840,26820,28,8,2,15,7,6,1,16,4,2,4,2,5,06-12-2020,7.5,LD
Venezuela,92,Israel Arteaga,428808648,,,,,,,28,70,600,444,172,2,5,20,4,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,32,105,1450,690,186,4,2,20,5,5,6,2,2,1,1,0,5,09-12-2020,2.5,POR
Suiza,,Achille Lev,439739663,1,Imprevisible,,,,,37,81,0,300,29,7,7,15,2,3,0,4,2,0,0,0,6,09-09-2020,0.5,LI
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,38,93,20,280,186,7,1,20,2,3,3,1,1,0,0,0,1,09-09-2020,1.5,POR
Túnez,25,Karim Ati,399199147,,,,,,,37,83,11260,1776,13,15,3,10,7,4,13,3,1,0,0,0,0,06-12-2020,5.5,POR
