Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Chile,10,Oskar Aizpuru,427812596,,,,,,,29,16,130730,77184,176,7,5,20,6,6,1,4,18,4,4,6,3,04-10-2020,7.5,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,29,98,65010,38844,176,4,6,20,6,6,1,3,16,4,3,2,3,04-10-2020,6.5,MC
Alemania,14,Luca Kopetzky,427835263,,,,,,,29,2,59620,39924,176,5,4,20,4,7,1,3,16,3,4,4,3,04-10-2020,5.5,MC
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,30,83,58680,30840,19,8,2,13,7,6,1,16,4,2,4,2,5,27-09-2020,8,DC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,42,56050,21444,115,3,3,20,8,8,1,3,14,5,4,3,3,04-10-2020,7,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,68,54530,22452,131,2,2,20,7,7,1,4,14,2,2,4,4,04-10-2020,6.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,3,43780,22356,174,7,4,20,6,7,1,4,14,7,4,3,1,27-09-2020,5.5,ED
Irán,26,Farjad Amjadi,432094261,,,,,,,26,81,42550,17868,73,6,5,20,5,7,1,14,5,3,4,6,4,04-10-2020,5,DC
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,,,28,102,40860,17604,174,7,2,20,6,7,1,2,14,7,4,6,5,27-09-2020,5,EI
Suiza,27,Maximilian Gmünder,426697959,,,,,,,28,62,39590,15684,73,7,4,20,7,7,1,14,5,3,4,5,3,27-09-2020,7.5,DC
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,24,101,30460,8090,100,2,4,20,7,8,1,2,13,3,3,5,4,04-10-2020,6.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,25,53,22810,5820,126,4,5,20,7,8,1,2,12,7,3,5,5,04-10-2020,5.5,ED
Austria,32,Alfred Vejdovszky,431124773,,,,1,,,26,93,17240,5220,99,6,2,20,6,7,1,5,5,6,4,11,3,04-10-2020,7,DEL
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,100,14500,3612,96,5,4,20,5,7,1,4,6,3,7,11,1,04-10-2020,6.5,DEL
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,14,11450,3470,46,2,6,19,7,7,1,4,11,3,4,2,3,30-09-2020,5.5,MC
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,21,108,7960,1044,68,3,4,20,6,8,2,4,9,8,5,3,3,04-10-2020,5,EI
Túnez,25,Karim Ati,399199147,,,,,,,37,17,7540,1776,3,15,3,6,3,3,13,3,1,0,0,0,1,27-09-2020,3.5,POR
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,29,53,5110,1060,177,5,3,20,4,7,1,3,9,6,5,7,6,30-09-2020,4.5,DEL
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,36,4850,876,146,6,6,20,7,7,1,8,7,3,2,6,4,04-10-2020,4,DC
Italia,20,Paolo Prada,448909876,,,,,,,19,89,4440,468,35,2,4,17,7,7,1,5,8,3,7,4,1,30-09-2020,5,MC
