Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,30,10,51560,30840,9,8,2,9,6,6,1,16,4,2,4,2,5,19-07-2020,5.5,DC
Bélgica,25,Arnout Delmotte,425693793,,Imprevisible,,,1,1,28,52,98330,34668,7,5,4,8,6,7,1,16,4,4,9,4,9,22-07-2020,7.5,DC
Irán,26,Farjad Amjadi,432094261,,,,,,,26,8,55420,17868,62,6,5,20,7,7,1,14,5,3,4,6,4,19-07-2020,6,DC
Suiza,27,Maximilian Gmünder,426697959,,,,,,,27,101,37390,15684,63,6,4,20,5,7,1,14,4,3,4,5,3,15-07-2020,6,DC
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,29,92,2100,600,153,6,2,20,3,6,1,8,6,4,5,6,6,31-05-2020,4.5,LD
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,16,2230,612,135,4,2,20,5,7,1,8,6,4,4,4,1,22-07-2020,3.5,LD
Bélgica,4,Erik Janssens,432292771,,,,,,,27,6,2920,660,135,3,4,20,5,7,1,8,7,3,4,4,3,22-07-2020,3,DC
Irlanda,5,Bosco Coyne,432091322,,,,,,,27,75,4460,852,136,6,6,20,5,7,1,8,7,3,2,6,4,22-07-2020,4,DC
Italia,6,Gino Ambrogetti,427067471,,Cabeceador,,,,,27,98,2520,732,136,4,5,20,3,7,1,8,7,3,3,5,4,15-07-2020,3.5,DC
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,2,,,29,7,2800,900,153,6,1,20,7,6,1,8,7,4,3,3,2,15-07-2020,4.5,DC
Venezuela,92,Israel Arteaga,428808648,,,,,,,27,43,600,444,153,2,5,20,3,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Colombia,98,Gonzalo Albán,427777420,,,1,,,,28,79,940,390,166,3,6,20,3,6,1,7,5,4,5,2,5,10-05-2020,4,DC
España,9,Mauro Albelda,426590336,,Técnico,,,,,28,101,3020,636,152,4,3,20,7,6,1,5,6,4,4,8,1,03-06-2020,4.5,DEL
Italia,20,Paolo Prada,448909876,,,,,,,19,16,2060,468,24,2,4,14,5,7,1,5,7,3,7,4,1,22-07-2020,3,MC
Austria,32,Alfred Vejdovszky,431124773,,,,,,,26,20,17350,5220,88,5,2,20,7,7,1,5,5,6,3,11,3,19-07-2020,7,DEL
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,31,65,380,310,166,3,1,20,6,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Suiza,,Achille Lev,439739663,,Imprevisible,,,,,36,54,0,300,9,7,7,9,3,3,0,5,4,1,1,0,6,10-11-2019,3.5,DC
Finlandia,7,Harri Pyykkö,425991616,,,,,1,,28,49,56600,36972,165,4,4,20,4,7,1,4,15,4,2,6,2,22-07-2020,3.5,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,25,107,44730,15252,120,2,2,20,6,7,1,4,14,2,2,4,4,19-07-2020,6,MC
Chile,10,Oskar Aizpuru,427812596,,,,,2,,28,55,121880,81408,166,7,5,20,4,7,1,4,18,4,4,6,3,19-07-2020,6,MC
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,26,27,13640,3612,86,5,4,20,5,7,1,4,5,3,7,11,1,19-07-2020,5.5,DEL
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,19,53,6090,1890,35,2,6,17,5,7,1,4,10,3,3,2,3,19-07-2020,4,MC
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,18,69,1300,372,24,2,2,14,6,7,1,4,6,4,7,3,4,22-07-2020,3.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,27,42,49390,18468,163,7,4,20,7,7,1,4,14,7,4,3,1,19-07-2020,6,ED
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,21,35,6940,1044,58,3,4,20,7,8,2,4,9,8,5,3,3,22-07-2020,5,EI
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,29,83,480,320,166,2,3,20,3,6,1,4,6,3,6,3,6,31-10-2018,3,DEL
Colombia,,Alejandro Martínez,427777427,1,Técnico,1,,,,35,100,10,260,166,4,7,20,4,4,1,4,5,1,3,0,5,07-11-2018,2.5,DEL
Rumanía,12,Fănică Teacu,433196899,,,,,,,27,55,3670,1596,136,5,2,20,6,7,7,3,6,1,1,1,4,22-07-2020,3.5,POR
Alemania,14,Luca Kopetzky,427835263,,,,,,,28,41,72980,38772,165,4,4,20,7,7,1,3,16,3,4,4,3,19-07-2020,7.5,MC
Colombia,16,Norberto Peña,427777432,,Potente,1,,1,,28,92,6560,1010,166,4,3,20,7,7,1,3,9,6,5,7,6,22-07-2020,5,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,29,25,61280,38844,165,4,6,20,6,6,1,3,16,4,2,2,3,19-07-2020,6,MC
Bélgica,34,Watse Deschuymere,437261831,,,,,,,23,81,13240,16788,104,3,3,20,1,8,1,3,14,5,4,3,3,22-07-2020,2,MC
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,31,78,1440,770,166,4,2,20,3,5,6,2,2,1,1,1,5,13-11-2019,3,POR
Costa Rica,15,Abdulad Conejo,435765263,,,,,1,,24,92,14720,4380,116,4,5,20,5,8,1,2,11,7,3,5,5,22-07-2020,3,ED
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,37,66,150,290,166,7,1,20,4,3,4,2,2,0,0,0,2,08-01-2020,3,POR
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,28,29,34190,17604,163,6,2,20,5,7,1,2,14,7,3,6,5,19-07-2020,5,EI
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,24,28,24720,8090,90,2,4,20,6,8,1,2,13,3,2,5,4,22-07-2020,4.5,MC
Alemania,35,Walter Brieselang,401033610,,,,,,,38,83,1870,2472,52,8,5,20,6,3,0,1,13,0,3,1,4,22-07-2020,1,DEL
Rusia,44,Albert Kurylev,377934834,,,,,,,41,6,3450,1572,38,15,2,18,7,2,13,0,1,0,0,0,9,19-07-2020,4.5,POR
